categoria,2019,2020,2021,2022,2023
Total,4914.1,3779.6,4564.7,5019.4,5217.0
Manufactura,653.6,495.4,629.2,671.2,675.2
Construcción,367.9,268.6,394.6,409.0,380.6
Comercio,993.9,847.3,1089.3,1123.5,1145.4
Servicios 1/,2828.7,2119.6,2388.2,2755.8,2957.1
Otros 2/,69.9,48.8,63.4,59.9,58.8
De 1 a 10 trabajadores,2973.3,2242.7,3003.0,3233.4,3218.8
De 11 a 50 trabajadores,454.5,331.3,391.6,462.8,566.5
De 51 a más trabajadores,1486.3,1205.7,1170.1,1323.2,1431.7
Empleador o patrono,276.1,144.5,168.3,208.0,248.0
Trabajador Independiente,1440.9,1153.7,1473.3,1568.3,1580.8
Empleado,1947.8,1517.0,1614.0,2861.5,3012.6
Trabajador familiar no Remunerado,190.4,146.4,224.3,210.2,178.5
Trabajador del Hogar,201.5,129.7,160.9,171.4,197.1
